選出,試合数,勝率(%)
粉砕 / 山嵐 / はさみ,456,44.2
鉄拳 / 魔球 / ハサミムシ,456,44.2
手のひら / ゴースト / 紙,456,44.0
鉄拳 / 魔球 / はさみ,456,43.9
鉄拳 / 堅牢 / 団扇,456,43.9
粉砕 / 一閃 / 紙,456,43.6
鉄拳 / 魔球 / 団扇,456,43.5
粉砕 / ハサミムシ / 山嵐,456,43.4
粉砕 / はさみ / 団扇,456,43.3
粉砕 / 堅牢 / 一閃,456,43.2
鉄拳 / 石 / 器,456,43.1
鉄拳 / ハサミムシ / 一閃,456,43.1
魔球 / 器 / 団扇,456,43.1
堅牢 / ゴースト / 紙,456,43.1
堅牢 / バラ / ゴースト,456,43.0
山嵐 / 一閃 / ゴースト,456,42.9
堅牢 / 器 / 団扇,456,42.7
鉄拳 / ハサミムシ / ゴースト,456,42.4
鉄拳 / 魔球 / 山嵐,456,42.2
鉄拳 / 山嵐 / ゴースト,456,42.2
山嵐 / バラ / はさみ,456,42.0
魔球 / バラ / 一閃,456,41.8
魔球 / 石 / ゴースト,456,41.7
鉄拳 / ハサミムシ / バラ,456,41.4
一閃 / 手のひら / 団扇,456,41.4
ハサミムシ / バラ / 紙,456,41.2
粉砕 / 魔球 / ハサミムシ,456,41.1
バラ / はさみ / 紙,456,41.1
鉄拳 / 一閃 / はさみ,456,41.0
ハサミムシ / はさみ / 器,456,40.8
ハサミムシ / 山嵐 / 一閃,456,40.7
粉砕 / 山嵐 / 団扇,456,40.1
粉砕 / ハサミムシ / はさみ,456,40.0
魔球 / ゴースト / 団扇,456,40.0
粉砕 / 堅牢 / ハサミムシ,456,39.7
粉砕 / 堅牢 / バラ,456,39.6
鉄拳 / はさみ / ゴースト,456,39.6
粉砕 / 鉄拳 / 紙,456,39.5
一閃 / 手のひら / ゴースト,456,39.3
鉄拳 / 魔球 / 器,456,39.0
粉砕 / 手のひら / 紙,456,38.9
魔球 / 堅牢 / 石,456,38.8
はさみ / 器 / 紙,456,38.8
鉄拳 / 山嵐 / バラ,456,38.7
はさみ / 手のひら / 器,456,38.5
ハサミムシ / 山嵐 / はさみ,456,38.4
石 / ゴースト / 器,456,38.2
粉砕 / 魔球 / 山嵐,456,38.0
